,Date,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine
45587,2007-11-01,8.0,24.3,0.0,3.4,6.3
45588,2007-11-02,14.0,26.9,3.6,4.4,9.7
45589,2007-11-03,13.7,23.4,3.6,5.8,3.3
45590,2007-11-04,13.3,15.5,39.8,7.2,9.1
45591,2007-11-05,7.6,16.1,2.8,5.6,10.6
45592,2007-11-06,6.2,16.9,0.0,5.8,8.2
45593,2007-11-07,6.1,18.2,0.2,4.2,8.4
45594,2007-11-08,8.3,17.0,0.0,5.6,4.6
45595,2007-11-09,8.8,19.5,0.0,4.0,4.1
45596,2007-11-10,8.4,22.8,16.2,5.4,7.7
45597,2007-11-11,9.1,25.2,0.0,4.2,11.9
45598,2007-11-12,8.5,27.3,0.2,7.2,12.5
45599,2007-11-13,10.1,27.9,0.0,7.2,13.0
45600,2007-11-14,12.1,30.9,0.0,6.2,12.4
45601,2007-11-15,10.1,31.2,0.0,8.8,13.1
45602,2007-11-16,12.4,32.1,0.0,8.4,11.1
45603,2007-11-17,13.8,31.2,0.0,7.2,8.4
45604,2007-11-18,11.7,30.0,1.2,7.2,10.1
45605,2007-11-19,12.4,32.3,0.6,7.4,13.0
45606,2007-11-20,15.6,33.4,0.0,8.0,10.4
45607,2007-11-21,15.3,33.4,0.0,8.8,9.5
45608,2007-11-22,16.4,19.4,0.4,9.2,0.0
45609,2007-11-23,12.8,18.5,25.8,2.8,0.6
45610,2007-11-24,12.0,24.3,0.4,1.2,7.5
45611,2007-11-25,15.4,28.4,0.0,4.4,8.1
45612,2007-11-26,15.6,26.9,0.0,6.8,8.9
45613,2007-11-27,13.3,22.2,0.2,6.6,2.3
45614,2007-11-28,12.9,28.0,0.0,4.4,10.7
45615,2007-11-29,15.1,24.3,0.0,7.0,0.4
45616,2007-11-30,13.6,24.1,0.4,2.6,0.5
45617,2007-12-01,15.1,20.4,22.6,2.4,0.2
45618,2007-12-02,11.6,26.3,4.2,1.6,12.0
45619,2007-12-03,16.6,24.2,0.2,6.6,4.7
45620,2007-12-04,13.3,26.5,6.6,3.8,11.8
45621,2007-12-05,14.5,21.8,0.0,8.4,9.8
45622,2007-12-06,16.3,26.8,0.0,6.0,6.3
45623,2007-12-07,17.2,25.8,0.0,4.2,8.8
45624,2007-12-08,16.5,28.2,4.0,4.2,8.8
45625,2007-12-09,15.0,29.4,0.0,6.6,11.1
45626,2007-12-10,14.9,24.8,0.0,10.4,10.0
45627,2007-12-11,11.8,18.5,0.6,4.8,2.3
45628,2007-12-12,11.7,21.5,0.0,4.2,7.3
45629,2007-12-13,9.6,20.3,0.0,5.0,3.6
45630,2007-12-14,8.9,27.1,0.0,4.4,12.7
45631,2007-12-15,10.1,29.9,0.0,6.8,8.8
45632,2007-12-16,15.5,21.1,5.4,6.4,0.9
45633,2007-12-17,10.8,21.7,1.4,2.8,10.6
45634,2007-12-18,7.5,20.9,0.0,6.6,8.7
45635,2007-12-19,12.8,21.0,0.0,6.4,0.8
45636,2007-12-20,12.6,23.1,3.4,1.6,2.3
45637,2007-12-21,14.8,29.5,6.4,1.8,8.1
45638,2007-12-22,19.9,22.0,11.0,4.4,5.9
45639,2007-12-23,9.2,20.4,17.4,7.8,10.2
45640,2007-12-24,12.4,24.4,0.0,6.2,12.1
45641,2007-12-25,11.3,21.7,3.4,8.2,5.6
45642,2007-12-26,9.8,26.3,0.0,5.2,13.0
45643,2007-12-27,14.3,26.7,0.0,7.2,7.1
45644,2007-12-28,15.1,28.3,14.4,8.8,13.2
45645,2007-12-29,14.4,31.6,0.0,6.6,13.6
