Date,Passengers
1949-01,139
1949-02,99
1949-03,132
1949-04,154
1949-05,121
1949-06,115
1949-07,162
1949-08,181
1949-09,101
1949-10,144
1949-11,
1949-12,131
1950-01,114
1950-02,134
1950-03,173
1950-04,127
1950-05,114
1950-06,
1950-07,150
1950-08,173
1950-09,158
1950-10,153
1950-11,79
1950-12,114
1951-01,121
1951-02,173
1951-03,204
1951-04,139
1951-05,172
1951-06,
1951-07,
1951-08,199
1951-09,184
1951-10,162
1951-11,115
1951-12,161
1952-01,135
1952-02,161
1952-03,193
1952-04,174
1952-05,217
1952-06,252
1952-07,230
1952-08,
1952-09,243
1952-10,191
1952-11,172
1952-12,215
1953-01,160
1953-02,196
1953-03,271
1953-04,207
1953-05,240
1953-06,270
1953-07,232
1953-08,272
1953-09,242
1953-10,176
1953-11,206
1953-12,201
1954-01,225
1954-02,204
1954-03,253
1954-04,246
1954-05,266
1954-06,
1954-07,302
1954-08,293
1954-09,259
1954-10,229
1954-11,203
1954-12,229
1955-01,242
1955-02,233
1955-03,267
1955-04,269
1955-05,270
1955-06,315
1955-07,364
1955-08,347
1955-09,312
1955-10,274
1955-11,
1955-12,278
1956-01,284
1956-02,277
1956-03,317
1956-04,313
1956-05,318
1956-06,374
1956-07,413
1956-08,405
1956-09,355
1956-10,306
1956-11,271
1956-12,306
1957-01,315
1957-02,301
1957-03,356
1957-04,348
1957-05,355
1957-06,422
1957-07,465
1957-08,
1957-09,
1957-10,347
1957-11,305
1957-12,336
1958-01,340
1958-02,318
1958-03,362
1958-04,348
1958-05,363
1958-06,435
1958-07,491
1958-08,505
1958-09,404
1958-10,359
1958-11,310
1958-12,337
1959-01,360
1959-02,342
1959-03,406
1959-04,396
1959-05,420
1959-06,472
1959-07,548
1959-08,559
1959-09,463
1959-10,407
1959-11,362
1959-12,405
1960-01,417
1960-02,391
1960-03,
1960-04,461
1960-05,472
1960-06,535
1960-07,622
1960-08,606
1960-09,508
1960-10,461
1960-11,390
1960-12,432
